关联表								
string	string	int	string	string	string	string	string	string
错误码	客户端(描述)	提示类型(0错误弹窗提示,1飘字,2普通弹窗提示)	繁体中文	英文	韩文	日文	越南文	泰文
Key	Cn	TipType	Tw	En	Ko	Ja	Vi	Th
EC_SUCCESS	成功	0						
connect_time_out	连接超时!	1						
SystemError	服务器处理中，请稍后再试	0						
EC_SYSTEMERROR	服务器处理中，请稍后再试	0						
achieve_integral_no_enough	已领取该条目奖励	0						
achieve_lib_refresh_corps_achieve_rmb	数据异常，请稍后再试	1						
achieve_not_completed	任务没有完成	0						
achieve_not_found	无指定活动	0						
achieve_timeout	任务已经超时	0						
achieve_already_finish	任务已经领奖	0						
active		0						
ActivityTroopTips	是否立即领取!	0						
alread_garray	此武将已经上阵	0						
already_ally	此条请求已经失效	0						
already_exist	已经解锁此头像	0						
already_get	今日已经领取	0						
already_have	已经拥有该皮肤	0						
already_put_the_equipment	此装备已经穿上	0						
already_put_the_treasure	宝物已经佩上	0						
already_start	日常任务已经开始	0						
alredy_help	已经帮助过此条	0						
arena		0						
arena_fight_limit	挑战数据错误	0						
arena_garray_card_num_not_less_than_one	校武场防守阵容至少一位武将	0						
arena_lb_fight_enemy_charge_count	购买挑战次数不足	0						
arena_lb_fight_enemy_free_count	免费挑战次数不足	0						
arena_lb_fight_enemy_prop	校武牌不足	0						
arena_lb_fight_enemy_rmb	您当前的元宝不足	0						
arena_lb_refresh_enemy_charge_count	刷新次数不足	0						
arena_lb_refresh_enemy_free_count	免费刷新次数不足	0						
arena_lb_refresh_enemy_rmb	您当前的元宝不足	0						
arena_lib_award_day_f_win_num	累胜次数不足	0						
arena_lib_award_max_rank	历史排名不够	0						
arena_lib_check_card_in_garray_gid	武将在竞技场队列中上阵	0						
arena_lib_check_open_castle_lv	大殿等级不足	0						
arena_lib_fight_enemy_charge_count	购买挑战次数不足	0						
arena_lib_fight_enemy_free_count	免费挑战次数不足	0						
arena_lib_fight_enemy_prop	校武牌不足	0						
arena_lib_fight_enemy_rmb	您当前的元宝不足	0						
arena_lib_fight_prop	校武牌不足	0						
arena_lib_fight_rmb	您当前的元宝不足	0						
arena_lib_refresh_enemy_charge_count	刷新次数不足	0						
arena_lib_refresh_enemy_free_count	免费刷新次数不足	0						
arena_lib_refresh_enemy_rmb	您当前的元宝不足	0						
arena_no_normal	数据异常	0						
arena_not_open	校武场未开启	0						
arena_refresh_enemy_cd_time	换一批冷却时间未到	0						
arena_status	校武场奖励结算中	0						
arena_the_rank_fighting	该玩家正在战斗.请稍后重试	0						
back_result_no_normal	数据异常	0						
barracks_not_open	兵营未解锁	0						
barracks_num_limit	已达到储存兵力上限	0						
barracks_queue_full	队列已满	0						
barracks_time_limit	时间未到	0						
black_market_queue_full	队列已满	0						
born_point_error	预存的出生点坐标已经使用完,随机获取坐标时候由于多个玩家获取同一个可使用的坐标了导致写point_state失败	0						
breach_num_error	宝物突破消耗宝物数量不足	0						
building		0						
building_card_dispatched	该武将已经被派遣	0						
building_card_dispatching	含已派遣武将无法分解	0						
building_dispatched	该建筑已经有派遣武将	0						
building_lib_barracks_cb_forage	招募粮草不足	0						
building_lib_barracks_forage	粮草不足	0						
building_lib_barracks_iron	铁锭不足	0						
building_lib_barracks_mineral	矿石不足	0						
building_lib_barracks_money	铜币不足	0						
building_lib_barracks_rmb	立即完成元宝不足	0						
building_lib_barracks_wood	木材不足	0						
building_lib_black_market_building_type	建筑等级不满足	0						
building_lib_black_market_forage	收购需要粮草不足	0						
building_lib_black_market_iron	收购需要铁锭不足	0						
building_lib_black_market_mineral	收购需要矿石不足	0						
building_lib_black_market_rmb	收购需要元宝不足	0						
building_lib_black_market_wood	收购需要木材不足	0						
building_lib_building_dispatch_dispatched	武将不满足派遣要求	0						
building_lib_building_dispatch_special_effects_limit	武将特技与部门不匹配	0						
building_lib_building_dispatch_vacancy	可派遣位置不足	0						
building_lib_buy_tmp_queue_rmb	您当前的元宝不足	0						
building_lib_mintage_forage	铸币需要的粮草不足	0						
building_lib_mintage_iron	铸币需要的铁锭不足	0						
building_lib_mintage_mineral	铸币需要的矿石不足	0						
building_lib_mintage_wood	铸币需要的木材不足	0						
building_lib_reduce_queue_time_prop	加速道具不足	0						
building_lib_study_building	升级需要前置建筑等级不足	0						
building_lib_study_building_type	升级需要前置建筑等级不足	0						
building_lib_study_forage	升级需要粮食不足	0						
building_lib_study_iron	升级需要铁锭不足	0						
building_lib_study_mineral	升级需要石料不足	0						
building_lib_study_money	升级需要铜币不足	0						
building_lib_study_rmb	立即完成元宝不足	0						
building_lib_study_role_lv	升级需要角色等级不足	0						
building_lib_study_study	升级需要前置科技等级不足	0						
building_lib_study_wood	升级需要木材不足	1						
building_lib_treasure_house_prop	物品不足	0						
building_lib_treasure_house_unlock_cell_chapter	剧本不满足	0						
building_lib_treasure_house_unlock_cell_duplicate	尚未通过指定演武副本	0						
building_lib_treasure_house_unlock_cell_event_chapter	大殿等级不足	0						
building_lib_treasure_house_unlock_cell_event_duplicate	尚未通过指定演武副本	0						
building_lib_treasure_house_unlock_cell_event_main_building_level	大殿等级不足	0						
building_lib_treasure_house_unlock_cell_event_official	爵位等级不满足	0						
building_lib_treasure_house_unlock_cell_event_role_lv	主公等级不满足	0						
building_lib_treasure_house_unlock_cell_forage	粮草不足	0						
building_lib_treasure_house_unlock_cell_iron	铁锭不足	0						
building_lib_treasure_house_unlock_cell_main_building_level	解锁藏宝阁需要的大殿等级不足	0						
building_lib_treasure_house_unlock_cell_main_lv	解锁藏宝阁需要的大殿等级不足	0						
building_lib_treasure_house_unlock_cell_mineral	石料不足	0						
building_lib_treasure_house_unlock_cell_money	铜币不足	0						
building_lib_treasure_house_unlock_cell_official	爵位等级不满足	0						
building_lib_treasure_house_unlock_cell_prop	行商印不足	0						
building_lib_treasure_house_unlock_cell_rmb	您当前的元宝不足	0						
building_lib_treasure_house_unlock_cell_role_lv	主公等级不满足	0						
building_lib_treasure_house_unlock_cell_wood	木材不足	0						
building_lib_up_building	升级需要前置建筑等级不足	0						
building_lib_up_building_type	升级需要前置建筑等级不足	0						
building_lib_up_forage	升级需要粮草不足	1						
building_lib_up_iron	升级需要铁锭不足	1						
building_lib_up_mineral	升级需要矿石不足	1						
building_lib_up_money	升级需要铜币不足	1						
building_lib_up_rmb	您当前的元宝不足	1						
building_lib_up_role_lv	主公等级不满足	0						
building_lib_up_wood	升级需要木材不足	1						
building_lib_weapon_create_building_type	建筑等级不足	0						
building_lib_weapon_create_forage	粮食不足	0						
building_lib_weapon_create_iron	铁锭不足	0						
building_lib_weapon_create_mineral	石料不足	0						
building_lib_weapon_create_wood	木材不足	0						
building_max_level	建筑等级已达到当前上限	0						
building_no_up_info	没有升级信息	0						
building_queue_full	升级队列已满	0						
building_queue_ing	升级中	0						
building_queue_used	建筑队列正在使用中	0						
building_resource_full	资源已满不能收取	0						
building_time_limit	时间未到	0						
building_unlock	该建筑未解锁,不能升级	0						
buy_error	体力或繁荣已满	0						
buy_haved	您已经购买了开服基金	0						
can_not_accept	不可同时接取两个相同的任务	0						
can_not_attack_role_in_the_same_PowerCt	集结诏令颁布期间不能攻击同势力玩家	0						
card		0						
card_dispatching	有武将在派遣中，无法分解/重置	0						
card_level_max	武将已经满级	0						
card_lib_cards_card_level	等级不满足	0						
card_lib_cards_card_new_star	武将当前星级不满足	0						
card_lib_cards_card_star	武将星级不满足	0						
card_lib_cards_card_star_grid	武将星格不满足	0						
card_lib_cards_card_state	武将状态不满足	0						
card_lib_star_grid_money	铜币不足	0						
card_lib_star_grid_prop	材料不足	0						
card_lib_up_star_card_level	武将升星等级不满足	0						
card_lib_up_star_card_part	武将好感不足	0						
card_lib_up_star_money	铜币不足	0						
card_lib_up_star_reset_rmb	您当前的元宝不足	0						
card_lib_up_streng_card_level	武将等级不足	0						
card_lib_up_streng_card_star	武将星级不满足	0						
card_lib_up_streng_money	铜币不足	0						
card_new_star_max	武将升星已满	0						
card_not_idle	此武将不是空闲状态	2						
card_soldiers_limit	武将可带最大兵力不足	0						
card_star_max	卡牌星级已满	0						
card_no_reuse	相同武将已上阵	0						
cash		0						
cash_award_cash	充值金额不足	0						
cash_lib_cash_award_cash	充值数不满足	0						
castle_lib_move_castle_prop	迁城道具不足	0						
castle_lib_move_castle_rmb	您当前的元宝不足	0						
castle_protect_state	主城处于保护状态不能侦查	0						
cb_forage_not_enough	粮草不足	0						
cb_mineral_upper	石料已满,无法继续操作	0						
cd_limit	解散结盟冷却中	0						
cd_time_limit	插军旗cd时间限制	0						
chapter		0						
chapter_task		0						
chapter_task_lib_get_task_building	指定建筑等级不满足	0						
chapter_task_not_check_over	任务还没有完成	0						
chapter_task_was_award	已经领取过了	0						
chat		0						
chat_channel_cd	发言时间尚未冷却	0						
chat_max_times	刷新期内聊天次数已满	0						
chat_role_in_blanck	该玩家已被您拉黑	0						
chief_town_limit	拥有郡城数量不足	0						
collect_max	收藏个数达到上限	0						
consume_enough	条件不足	0						
consume_limit	消耗不足	0						
consume_not_enough	更名简不足	0						
corps		0						
corps_cd_limit	加入联盟冷却时间未到	0						
corps_cd_limitn	加入联盟的冷却时间未到	0						
corps_in_cross_battle	联盟当前正在进行史鉴之战	0						
corps_in_fighting	当前处于战斗状态，暂时不能操作	0						
corps_invite_num_limit	联盟最大邀请人数已达上限	0						
corps_invote_only_PowerCt	只能邀请与自己同一势力的人	0						
corps_lib_change_banner_rmb	联盟更换旗帜所需的元宝不足	0						
corps_lib_change_name_prop	暂无联盟更名简，无法更名	0						
corps_lib_corps_gift_get_num	接受次数限制，赠送失败	0						
corps_lib_corps_gift_prop	道具不足，赠送失败	0						
corps_lib_corps_gift_prop_num	道具数量不匹配	0						
corps_lib_corps_gift_prop_type	所选道具不能赠送，赠送失败	0						
corps_lib_corps_gift_rmb	元宝不足，不能赠送	0						
corps_lib_corps_gift_send_num	赠送次数限制，赠送失败	0						
corps_lib_corps_gift_vip_lv	VIP等级不足，不能赠送	0						
corps_lib_create_main_building_level	大殿等级不足	0						
corps_lib_create_money	铜币不足	0						
corps_lib_create_rmb	元宝不足	0						
corps_lib_create_role_level	主公等级不足	0						
corps_lib_create_vip	vip等级不足	0						
corps_lib_donate_contribute_times	联盟接受捐献次数已达到本日上限	0						
corps_lib_donate_money	铜币不足	0						
corps_lib_donate_rmb	元宝不足	0						
corps_lib_enter_castle_level	该联盟需要更高的大殿等级，方能加入	0						
corps_lib_enter_main_building_level	主公府等级不足	0						
corps_lib_enter_role_level	该联盟需要更高的大殿等级，方能加入	0						
corps_lib_replace_owner_offline_sec	联盟长离线时间没达到要求	0						
corps_lib_replace_rmb	元宝不足	0						
corps_lv_limit	联盟等级不足	0						
corps_member_num_limit	成员数达到上限	0						
corps_name_exist	名字已经存在	1						
corps_no_invite	邀请已失效	1						
corps_not_find	该联盟已解散	1						
corps_not_in	不在联盟中	0						
corps_not_member	没有该成员	0						
corps_not_request	该请求不存在	1						
corps_only_replace_owner	替代联盟长不满足	0						
corps_position_limit	权限不足	1						
corps_position_not_quit	该职位不允许退出	0						
corps_request_num_limit	该联盟申请人数过多	0						
corps_request_only_PowerCt	只能申请自己势力的联盟	0						
corps_role_invite_num_limit	玩家被联盟同时邀请的次数达到上限	0						
corps_role_request_num_limit	您申请的联盟数量已经达到上限	0						
corps_search_by_name_cd_limit	搜索冷却时间未到	0						
corps_town_abandon_times_limit	可放弃的城池数量达到上限	0						
corps_town_is_abandoning	城池放弃中,不能进行该操作	0						
corps_town_not_owner	该城池已被别的联盟攻占，您已失去了对该城池的放弃权！	0						
corps_town_state_error	该城池非和平状态，无法放弃。	0						
corps_town_state_error2	该城池非和平状态，无法取消放弃。	0						
corps_vice_owner_num_limit	副团长人数达到上限	0						
corps_was_in	您已经在联盟中	0						
corps_was_request	已经发送过请求	0						
count_max	捐献次数已经达到上限	0						
create_num_limit	建造数量已达上限	0						
create_town_not_owner	城池属于不属于联盟	0						
cross_battle		0						
cross_battle_corps_not_in	联盟没有参加跨服	0						
cross_battle_lib_transfer_consume_prop	联盟跨服战划拨消耗物品不足	0						
cross_battle_lib_transfer_consume_rmb	联盟跨服战划拨消耗元宝不足	0						
cross_battle_not_find	没有跨服	0						
cross_battle_not_open	跨服没有开启	0						
