中文	翻译文本
Cn	Tw
错误	錯誤
成功	成功
%s张	%s張
当前进度	當前進度
失败	失敗
确定	確定
修改	修改
确认	確認
加入	加入
创建	創建
取消	取消
撤销	撤銷
再想想	再想想
同意	同意
不同意	不同意
上一步	上一步
不用了	不用了
提示	提示
使用	使用
前往使用	前往使用
购买使用	購買使用
出售	出售
获取	獲取
分解	分解
去查看	去查看
去穿戴	去穿戴
合成	合成
充值	儲值
继续签到	繼續簽到
离下一次签到还有：	離下一次簽到還有：
升级	升級
重置	重置
复制	複製
保存	保存
出征	出征
已满星	已滿星
刷新	刷新
消耗	消耗
无	無
空	空
已持有：%s	已持有：%s
统御值	統御值
星	星
%s级	%s級
等级	等級
威望	威望
领地	領地
<color=#7FB05E>%s</color>	<color=#7FB05E>%s</color>
持有:%s	持有:%s
持有	持有
可使用：%s	可使用：%s
当前	當前
免费	免費
加速	加速
黄金加速	黃金加速
金饼加速	金餅加速
下一级	下一級
修复	修復
强化	強化
置零	置零
战力：%s	戰力：%s
<color=#F8D4A0>官职：</color><color=#EAE1D6>%s</color>	<color=#F8D4A0>官職：</color><color=#EAE1D6>%s</color>
<color=#F8D4A0>联盟：</color><color=#EAE1D6>%s</color>	<color=#F8D4A0>聯盟：</color><color=#EAE1D6>%s</color>
所在服务器：%s	所在伺服器：%s
府邸：%s%s	府邸：%s%s
阵营：%s	陣營：%s
装备	裝備
替换	替換
来源	來源
数量	數量
%s增加%s	%s增加%s
耗时：%s	耗時：%s
<color=#C1B28EFF>耗时</color> <color=#D1DADDFF>%s</color>	<color=#C1B28EFF>耗時</color> <color=#D1DADDFF>%s</color>
正在升级！	正在升級！
剩余次数：	剩餘次數：
警告	警告
今日剩余次数：	今日剩餘次數：
今日免费次数：	今日免費次數：
坐标:	座標:
坐标	座標
"%s,%s"	"%s,%s"
"(%s,%s)"	"(%s,%s)"
已满级	已滿級
未保护	未保護
快捷输入	快捷輸入
%s不足	%s不足
"网络异常,请检查网络"	"網路異常,請檢查網路"
通讯超时	通訊超時
连接失败，是否重新连接	連接失敗，是否重新連接
已有更新V%s(当前:V%s)请更新后再试.	已有更新V%s(當前:V%s)請更新後再試.
"网络异常,请稍后重试"	"網路異常,請稍後重試"
公士	公士
（当前拥有：%s）	（當前擁有：%s）
进攻	進攻
防守	防守
协防	協防
%s级解锁	%s級解鎖
退出游戏？	退出遊戲？
获取服务器列表超时是否重试?	獲取伺服器列表超時是否重試?
 网络连接失败	 網路連接失敗
维护中	維護中
所选服务器当前正在维护中.	所選伺服器當前正在維護中.
请选择服务器	請選擇伺服器
登录服务器失败	登錄伺服器失敗
胜	勝
恭喜获得	恭喜獲得
败	敗
铸币速度	鑄幣速度
铸币比例	鑄幣比例
招募速度	招募速度
恢复速度	恢復速度
打造速度	打造速度
打造成功	打造成功
激活成功	啟動成功
